Date,Gig,Income,Commission,Sound,In-Ears,Printing/Shipping,Advertising,Other,Net,Payout,To Account
12/31/2013,JA Nugget,12500,1250,,130,,,,11120,740,760
1/17/2014,Bimbo's,7440,744,,130,66.97,156.34,,6342.69,400,742.69
1/18/2014,Wedding (Bimbo's),3820,525,,130,,,,3165,200,365
1/24/2014,Catalyst,1904,190.4,,80,,,,1633.6,100,233.6
1/25/2014,Club Fox,2460,246,,130,,,,2084,140,124
2/1/2014,Mystic,3783,378.3,,130,,,,3274.7,210,334.7
2/15/2014,Black Oak Casino,4000,400,,130,,,,3470,230,250
2/21/2014,Powerhouse Pub,2500,250,,130,,,,2120,140,160
2/22/2014,Wow Hall,,0,,,,,,0,,0
3/15/2014,Harlow's,2000,200,,130,,,,1670,110,130
3/22/2014,Catalyst,,0,,,,,,0,,0
3/28/2014,Sweetwater,,0,,,,,,0,,0
3/29/2014,Club Fox,,0,,,,,,0,,0
4/5/2014,Crystal Bay Casino,2500,250,,130,,,,2120,140,160
4/11/2014,Bimbo's?,4000,400,,130,,,,3470,,3470
6/12/2014,Montgomery Vill.,3500,350,,130,,,,3020,200,220
6/21/2014,Black Oak Casino,4000,400,,130,,,,3470,230,250
7/11/2014,Blackhawk,3500,350,,130,,,,3020,200,220
7/17/2014,Crow's Nest,2000,200,,130,,,,1670,110,130
7/18/2014,Orchard Creek,7500,750,,130,,,,6620,440,460
7/19/2014,Club Fox,,0,,,,,,0,,0
7/24/2014,Todos Santos,2250,225,,130,,,,1895,120,215
7/26/2014,Lake Mission Viejo,10000,1500,,130,,,,8370,560,530
7/31/2014,Windsor Town Green,3000,300,,130,,,,2570,170,190
8/23/2014,Bimbo's?,4000,400,,130,,,,3470,230,250
10/18/2014,Black Oak Casino,4000,400,,130,,,,3470,230,250
10/25/2014,Club Fox,,0,,,,,,0,,0
